0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"{'TEXT': '343', 'LABEL': 'b-company'}","{'TEXT': '—', 'LABEL': 'i-company'}","{'TEXT': 'PICARD', 'LABEL': 'i-company'}","{'TEXT': 'SURGELES', 'LABEL': 'i-company'}","{'TEXT': 'SAS', 'LABEL': 'i-company'}","{'TEXT': '1390', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DU', 'LABEL': 'i-address'}","{'TEXT': 'FAUBOURG', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'BOURGOGNE', 'LABEL': 'i-address'}","{'TEXT': '45000', 'LABEL': 'i-address'}","{'TEXT': 'ORLEANS', 'LABEL': 'i-address'}","{'TEXT': 'L‘enseigne', 'LABEL': 'i-address'}","{'TEXT': 'préférée', 'LABEL': 'i-address'}","{'TEXT': 'des', 'LABEL': 'i-address'}","{'TEXT': 'Français', 'LABEL': 'i-address'}","{'TEXT': '62,00', 'LABEL': 'b-total'}","{'TEXT': '€', 'LABEL': 'i-total'}","{'TEXT': '28.12.16', 'LABEL': 'b-date'}",{'id': '691'},,,,,,,,,,
"{'TEXT': 'Relais', 'LABEL': 'b-company'}","{'TEXT': 'Producteurs', 'LABEL': 'i-company'}","{'TEXT': 'Procession', 'LABEL': 'i-company'}","{'TEXT': '87,', 'LABEL': 'b-address'}","{'TEXT': 'rue', 'LABEL': 'i-address'}","{'TEXT': 'de', 'LABEL': 'i-address'}","{'TEXT': 'la', 'LABEL': 'i-address'}","{'TEXT': 'Procession', 'LABEL': 'i-address'}","{'TEXT': 'angle', 'LABEL': 'i-address'}","{'TEXT': '21', 'LABEL': 'i-address'}","{'TEXT': 'rue', 'LABEL': 'i-address'}","{'TEXT': 'G.', 'LABEL': 'i-address'}","{'TEXT': 'Duhamel', 'LABEL': 'i-address'}","{'TEXT': '—', 'LABEL': 'i-address'}","{'TEXT': '75015', 'LABEL': 'i-address'}","{'TEXT': 'PARIS', 'LABEL': 'i-address'}","{'TEXT': '10/06/2017', 'LABEL': 'b-date'}",{'id': '652'},,,,,,,,,,,,,
"{'TEXT': 'arr', 'LABEL': 'b-company'}","{'TEXT': 'é', 'LABEL': 'i-company'}","{'TEXT': 'ef', 'LABEL': 'i-company'}","{'TEXT': 'HR', 'LABEL': 'i-company'}","{'TEXT': 'I', 'LABEL': 'i-company'}","{'TEXT': 'Lundi', 'LABEL': 'i-address'}","{'TEXT': 'au', 'LABEL': 'i-address'}","{'TEXT': 'Samedi', 'LABEL': 'i-address'}","{'TEXT': 'de', 'LABEL': 'i-address'}","{'TEXT': '9h', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': '20n00', 'LABEL': 'i-address'}","{'TEXT': 'Dimanche', 'LABEL': 'i-address'}","{'TEXT': '9h', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': '12h30', 'LABEL': 'i-address'}","{'TEXT': 'Rue', 'LABEL': 'i-address'}","{'TEXT': 'Nicolas', 'LABEL': 'i-address'}","{'TEXT': 'Gargot', 'LABEL': 'i-address'}","{'TEXT': '17440', 'LABEL': 'i-address'}","{'TEXT': 'Aÿtré.', 'LABEL': 'i-address'}","{'TEXT': '35.50€', 'LABEL': 'b-total'}","{'TEXT': '07/05/2017', 'LABEL': 'b-date'}",{'id': '478'},,,,,,,
"{'TEXT': 'GRF—CTTY', 'LABEL': 'b-company'}","{'TEXT': 'LA', 'LABEL': 'i-company'}","{'TEXT': 'RO', 'LABEL': 'i-company'}","{'TEXT': 'LLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '05/03/2017', 'LABEL': 'b-date'}",{'id': '444'},,,,,,,,,,,,,,,,,
"{'TEXT': 'CRF—CTTY', 'LABEL': 'b-company'}","{'TEXT': 'LÀ', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'SCIÈRIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'ROCHÊLLE', 'LABEL': 'i-address'}","{'TEXT': '22/05/2017', 'LABEL': 'b-date'}",{'id': '336'},,,,,,,,,,,,,,,,,,
"{'TEXT': 'CRF—CITY', 'LABEL': 'b-company'}","{'TEXT': 'LA', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '5.15€', 'LABEL': 'b-total'}","{'TEXT': '13/07/2017', 'LABEL': 'b-date'}",{'id': '295'},,,,,,,,,,,,,,,,,
"{'TEXT': 'CRF—CTTY', 'LABEL': 'b-company'}","{'TEXT': 'LÀ', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '6.24€', 'LABEL': 'b-total'}","{'TEXT': '22/06/2017', 'LABEL': 'b-date'}",{'id': '281'},,,,,,,,,,,,,,,,,
"{'TEXT': 'CARREFOUR', 'LABEL': 'b-company'}","{'TEXT': 'CITY', 'LABEL': 'i-company'}","{'TEXT': 'ORLEANS', 'LABEL': 'i-company'}","{'TEXT': '1,', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DU', 'LABEL': 'i-address'}","{'TEXT': 'GRENTER', 'LABEL': 'i-address'}","{'TEXT': 'A', 'LABEL': 'i-address'}","{'TEXT': 'SEL', 'LABEL': 'i-address'}","{'TEXT': '45000', 'LABEL': 'i-address'}","{'TEXT': 'ORLEANS', 'LABEL': 'i-address'}","{'TEXT': '7.89€', 'LABEL': 'b-total'}","{'TEXT': '28/04/2017', 'LABEL': 'b-date'}",{'id': '530'},,,,,,,,,,,,,,,,,
"{'TEXT': 'CARREFOUR', 'LABEL': 'b-company'}","{'TEXT': 'CITY', 'LABEL': 'i-company'}","{'TEXT': 'ORLEANS', 'LABEL': 'i-company'}","{'TEXT': ',', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DU', 'LABEL': 'i-address'}","{'TEXT': 'GRENTER', 'LABEL': 'i-address'}","{'TEXT': 'A', 'LABEL': 'i-address'}","{'TEXT': 'SEL', 'LABEL': 'i-address'}","{'TEXT': '45000', 'LABEL': 'i-address'}","{'TEXT': 'ORLEANS', 'LABEL': 'i-address'}","{'TEXT': '6.42€', 'LABEL': 'b-total'}","{'TEXT': '21/06/2017', 'LABEL': 'b-date'}",{'id': '524'},,,,,,,,,,,,,,,,,
"{'TEXT': 'MARCHE', 'LABEL': 'i-company'}","{'TEXT': 'DE', 'LABEL': 'i-company'}","{'TEXT': 'L‘AUMONERIE', 'LABEL': 'i-company'}","{'TEXT': '17400', 'LABEL': 'b-address'}","{'TEXT': 'ST_JEAN_D‘ANGELY', 'LABEL': 'i-address'}","{'TEXT': '4154', 'LABEL': 'b-date'}",{'id': '915'},,,,,,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'ELIOR', 'LABEL': 'b-company'}","{'TEXT': 'CONCESSIONS', 'LABEL': 'i-company'}","{'TEXT': 'GARES', 'LABEL': 'i-company'}","{'TEXT': 'SAS', 'LABEL': 'i-company'}","{'TEXT': 'fare', 'LABEL': 'i-address'}","{'TEXT': 'Montparnasse', 'LABEL': 'i-address'}","{'TEXT': '14', 'LABEL': 'i-address'}","{'TEXT': 'bld', 'LABEL': 'i-address'}","{'TEXT': 'Hontparnasse', 'LABEL': 'i-address'}","{'TEXT': '75015', 'LABEL': 'i-address'}","{'TEXT': 'Paris', 'LABEL': 'i-address'}","{'TEXT': '2.00', 'LABEL': 'b-total'}","{'TEXT': '30—05—2017', 'LABEL': 'b-date'}",{'id': '929'},,,,,,,,,,,,,,,,,
"{'TEXT': 'SUD', 'LABEL': 'b-company'}","{'TEXT': '_VENDEE', 'LABEL': 'i-company'}","{'TEXT': 'DISTRIBUTION', 'LABEL': 'i-company'}","{'TEXT': 'DU', 'LABEL': 'i-company'}","{'TEXT': '_', 'LABEL': 'i-company'}","{'TEXT': 'GL', 'LABEL': 'i-company'}","{'TEXT': 'DE', 'LABEL': 'i-company'}","{'TEXT': 'GAULLE', 'LABEL': 'i-company'}","{'TEXT': 'D2', 'LABEL': 'i-address'}","{'TEXT': '571', 'LABEL': 'i-address'}","{'TEXT': '50', 'LABEL': 'i-address'}","{'TEXT': '132', 'LABEL': 'i-address'}","{'TEXT': '73', 'LABEL': 'i-address'}","{'TEXT': '3Ù4', 'LABEL': 'i-address'}","{'TEXT': 'dÛÛA', 'LABEL': 'i-address'}","{'TEXT': '23', 'LABEL': 'i-address'}","{'TEXT': 'février', 'LABEL': 'i-address'}","{'TEXT': '2017', 'LABEL': 'i-date'}","{'TEXT': '39.90', 'LABEL': 'b-total'}","{'TEXT': '24/02/17', 'LABEL': 'b-date'}",{'id': '1271'},,,,,,,,,,
"{'TEXT': 'LES', 'LABEL': 'b-company'}","{'TEXT': 'SERRES', 'LABEL': 'i-company'}","{'TEXT': 'DES', 'LABEL': 'i-company'}","{'TEXT': 'ANGLOIS', 'LABEL': 'i-company'}","{'TEXT': '17690', 'LABEL': 'i-company'}","{'TEXT': 'ANGOULINS', 'LABEL': 'i-company'}","{'TEXT': '9,', 'LABEL': 'b-total'}","{'TEXT': '41', 'LABEL': 'i-total'}",{'id': '726'},,,,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'OE', 'LABEL': 'i-company'}","{'TEXT': 'HÀRE', 'LABEL': 'b-company'}","{'TEXT': 'DES', 'LABEL': 'i-company'}","{'TEXT': 'B', 'LABEL': 'i-company'}","{'TEXT': '|rl“', 'LABEL': 'i-company'}","{'TEXT': '17590', 'LABEL': 'b-address'}","{'TEXT': 'CLEMEN', 'LABEL': 'i-address'}","{'TEXT': 'NES', 'LABEL': 'i-address'}","{'TEXT': '29', 'LABEL': 'i-address'}","{'TEXT': '1/02/2017', 'LABEL': 'b-date'}",{'id': '727'},,,,,,,,,,,,,,,,,,,,
"{'TEXT': '18/08/17', 'LABEL': 'b-date'}",{'id': '900'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'CARREFOUR', 'LABEL': 'b-company'}","{'TEXT': 'CITY', 'LABEL': 'i-company'}","{'TEXT': 'CRLEANS', 'LABEL': 'i-company'}","{'TEXT': 'RUE', 'LABEL': 'b-address'}","{'TEXT': 'DU', 'LABEL': 'i-address'}","{'TEXT': 'GRENTER', 'LABEL': 'i-address'}","{'TEXT': 'A', 'LABEL': 'i-address'}","{'TEXT': 'SE', 'LABEL': 'i-address'}","{'TEXT': '45000', 'LABEL': 'i-address'}","{'TEXT': 'ORLEANS', 'LABEL': 'i-address'}","{'TEXT': '7.', 'LABEL': 'b-total'}","{'TEXT': '46e', 'LABEL': 'i-total'}","{'TEXT': '16/06/2017', 'LABEL': 'b-date'}",{'id': '525'},,,,,,,,,,,,,,,,,
"{'TEXT': 'CARREFOUR', 'LABEL': 'b-company'}","{'TEXT': 'CTTY', 'LABEL': 'i-company'}","{'TEXT': 'ORLEANS', 'LABEL': 'i-company'}","{'TEXT': '1,', 'LABEL': 'i-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DU', 'LABEL': 'i-address'}","{'TEXT': 'GRENTER', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': 'SEL', 'LABEL': 'i-address'}","{'TEXT': '45000', 'LABEL': 'i-address'}","{'TEXT': 'ORLEANS', 'LABEL': 'i-address'}","{'TEXT': '428e', 'LABEL': 'b-total'}","{'TEXT': '23/06/2017', 'LABEL': 'b-date'}",{'id': '531'},,,,,,,,,,,,,,,,,
"{'TEXT': 'Carrefour', 'LABEL': 'b-company'}","{'TEXT': 'market', 'LABEL': 'i-company'}","{'TEXT': 'AYTR', 'LABEL': 'i-company'}","{'TEXT': 'Rue', 'LABEL': 'i-address'}","{'TEXT': 'Nicolas', 'LABEL': 'i-address'}","{'TEXT': 'Garaot', 'LABEL': 'i-address'}","{'TEXT': '17440', 'LABEL': 'i-address'}","{'TEXT': 'avtre.', 'LABEL': 'i-address'}",{'id': '257'},,,,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'Por', 'LABEL': 'b-company'}","{'TEXT': 'RF', 'LABEL': 'i-company'}","{'TEXT': 'uf', 'LABEL': 'i-company'}","{'TEXT': '—CTY', 'LABEL': 'i-company'}","{'TEXT': 'LÀ', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'SCTERIE', 'LABEL': 'i-address'}","{'TEXT': 'I7ÜJO', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': 'Telet', 'LABEL': 'i-address'}","{'TEXT': '5.46.27.02.12', 'LABEL': 'i-address'}","{'TEXT': '6.56€', 'LABEL': 'b-total'}","{'TEXT': '12/07/2017', 'LABEL': 'b-date'}",{'id': '280'},,,,,,,,,,,,
"{'TEXT': '21/02/11', 'LABEL': 'b-date'}",{'id': '1728'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'CRF—CITY', 'LABEL': 'b-company'}","{'TEXT': 'LA', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'SCÛIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': 'PAYER', 'LABEL': 'b-total'}","{'TEXT': '7.', 'LABEL': 'i-total'}","{'TEXT': '000083', 'LABEL': 'b-date'}",{'id': '445'},,,,,,,,,,,,,,,,
"{'TEXT': 'CRF—CLTY', 'LABEL': 'b-company'}","{'TEXT': 'LA', 'LABEL': 'i-company'}","{'TEXT': 'ROCHÊLLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '22/06/2017', 'LABEL': 'b-date'}",{'id': '323'},,,,,,,,,,,,,,,,,,
"{'TEXT': 'Carrefour', 'LABEL': 'b-company'}","{'TEXT': 'market', 'LABEL': 'i-company'}","{'TEXT': 'AVTRE', 'LABEL': 'i-company'}","{'TEXT': 'Lundi', 'LABEL': 'b-address'}","{'TEXT': 'au', 'LABEL': 'i-address'}","{'TEXT': 'Samedi', 'LABEL': 'i-address'}","{'TEXT': 'de', 'LABEL': 'i-address'}","{'TEXT': '9h', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': '20h00', 'LABEL': 'i-address'}","{'TEXT': 'Dimanche', 'LABEL': 'i-address'}","{'TEXT': '9h', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': '12h30', 'LABEL': 'i-address'}","{'TEXT': 'Rue', 'LABEL': 'i-address'}","{'TEXT': 'Nicolas', 'LABEL': 'i-address'}","{'TEXT': 'Gargot', 'LABEL': 'i-address'}","{'TEXT': '17440', 'LABEL': 'i-address'}","{'TEXT': 'Aÿtré', 'LABEL': 'i-address'}","{'TEXT': '23.93€', 'LABEL': 'b-total'}","{'TEXT': '02/04/2017', 'LABEL': 'b-date'}",{'id': '492'},,,,,,,,,
"{'TEXT': 'LéDK', 'LABEL': 'b-company'}","{'TEXT': 'Paris', 'LABEL': 'i-company'}","{'TEXT': 'Labrouste', 'LABEL': 'i-company'}","{'TEXT': '24', 'LABEL': 'i-address'}","{'TEXT': 'Rue', 'LABEL': 'i-address'}","{'TEXT': 'Henri', 'LABEL': 'i-address'}","{'TEXT': 'Labrouste', 'LABEL': 'i-address'}","{'TEXT': '75015', 'LABEL': 'i-address'}","{'TEXT': 'Paris', 'LABEL': 'i-address'}","{'TEXT': 'Lundi', 'LABEL': 'i-address'}","{'TEXT': 'Samedi', 'LABEL': 'i-address'}","{'TEXT': '8hoo', 'LABEL': 'i-address'}","{'TEXT': '—', 'LABEL': 'i-address'}","{'TEXT': '21h00', 'LABEL': 'i-address'}","{'TEXT': 'EUR', 'LABEL': 'i-address'}","{'TEXT': '141663/01', 'LABEL': 'b-date'}",{'id': '653'},,,,,,,,,,,,,,
"{'TEXT': 'LÀ', 'LABEL': 'b-company'}","{'TEXT': 'CHAMPÀGNE', 'LABEL': 'i-company'}","{'TEXT': 'SAINT', 'LABEL': 'i-company'}","{'TEXT': 'GEORGE', 'LABEL': 'i-company'}","{'TEXT': '17100', 'LABEL': 'i-address'}","{'TEXT': 'SAINTES', 'LABEL': 'i-address'}","{'TEXT': '09/06/2017', 'LABEL': 'b-date'}","{'TEXT': '14.,99', 'LABEL': 'b-total'}",{'id': '647'},,,,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'CRF—CITY', 'LABEL': 'b-company'}","{'TEXT': 'LÀ', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'SCTERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '2.bl€', 'LABEL': 'b-total'}","{'TEXT': '19/08/2016', 'LABEL': 'b-date'}",{'id': '109'},,,,,,,,,,,,,,,,,
"{'TEXT': 'FACTURE', 'LABEL': 'b-company'}","{'TEXT': 'Restaurant', 'LABEL': 'i-company'}","{'TEXT': 'McDonald‘s', 'LABEL': 'i-company'}","{'TEXT': 'Saintes', 'LABEL': 'i-company'}","{'TEXT': '3', 'LABEL': 'b-address'}","{'TEXT': 'Bis', 'LABEL': 'i-address'}","{'TEXT': 'Rue', 'LABEL': 'i-address'}","{'TEXT': 'de', 'LABEL': 'i-address'}","{'TEXT': 'Voiville', 'LABEL': 'i-address'}","{'TEXT': '17100', 'LABEL': 'i-address'}","{'TEXT': 'Saintes', 'LABEL': 'i-address'}","{'TEXT': '09/03/2017', 'LABEL': 'b-date'}","{'TEXT': '8.00', 'LABEL': 'b-total'}",{'id': '690'},,,,,,,,,,,,,,,,,
"{'TEXT': 'entreerise', 'LABEL': 'b-company'}","{'TEXT': 'twpepempanti', 'LABEL': 'i-company'}","{'TEXT': 'son', 'LABEL': 'i-company'}","{'TEXT': 'S', 'LABEL': 'i-company'}","{'TEXT': 'LES', 'LABEL': 'i-company'}","{'TEXT': 'BOIFFIERS', 'LABEL': 'i-company'}","{'TEXT': 'ror', 'LABEL': 'i-address'}","{'TEXT': 'Bert', 'LABEL': 'i-address'}","{'TEXT': 'toz', 'LABEL': 'i-address'}","{'TEXT': '17100', 'LABEL': 'i-address'}","{'TEXT': 'saante', 'LABEL': 'i-address'}","{'TEXT': '28/02/2017', 'LABEL': 'b-date'}",{'id': '1462'},,,,,,,,,,,,,,,,,,
"{'TEXT': 'LE', 'LABEL': 'b-company'}","{'TEXT': 'MANZIO', 'LABEL': 'i-company'}","{'TEXT': 'BAR', 'LABEL': 'i-company'}","{'TEXT': '.', 'LABEL': 'i-company'}","{'TEXT': 'BRASSERIE', 'LABEL': 'i-company'}","{'TEXT': '.', 'LABEL': 'i-company'}","{'TEXT': 'PIZZERIA', 'LABEL': 'i-company'}","{'TEXT': '22', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '47000', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': 'FRANCE', 'LABEL': 'i-address'}","{'TEXT': '29.90', 'LABEL': 'b-total'}","{'TEXT': '08—06—2017', 'LABEL': 'b-date'}",{'id': '874'},,,,,,,,,,,,
"{'TEXT': 'CRF—CITY', 'LABEL': 'b-company'}","{'TEXT': 'LÀ', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '6.Ne', 'LABEL': 'b-total'}","{'TEXT': '13/02/2017', 'LABEL': 'b-date'}",{'id': '34'},,,,,,,,,,,,,,,,,
"{'TEXT': 'cosMmETICs', 'LABEL': 'i-company'}","{'TEXT': 'LA', 'LABEL': 'b-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '26', 'LABEL': 'i-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'CHAUDRIER', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '20.00', 'LABEL': 'b-total'}","{'TEXT': '18/03/2017', 'LABEL': 'b-date'}",{'id': '860'},,,,,,,,,,,,,,,,,,,
"{'TEXT': 'CRF—CITY', 'LABEL': 'b-company'}","{'TEXT': 'LA', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '2.36€', 'LABEL': 'b-total'}","{'TEXT': '01/03/2017', 'LABEL': 'b-date'}",{'id': '36'},,,,,,,,,,,,,,,,,
"{'TEXT': 'Coop', 'LABEL': 'b-company'}","{'TEXT': 'At', 'LABEL': 'i-company'}","{'TEXT': 'lantique', 'LABEL': 'i-company'}","{'TEXT': 'Beaulieu', 'LABEL': 'i-company'}","{'TEXT': 'La', 'LABEL': 'i-company'}","{'TEXT': 'Rochelle', 'LABEL': 'i-company'}","{'TEXT': '17285', 'LABEL': 'i-address'}","{'TEXT': 'Puilboreau', 'LABEL': 'i-address'}","{'TEXT': 'Cedex', 'LABEL': 'i-address'}","{'TEXT': '11/02/17', 'LABEL': 'b-date'}",{'id': '1474'},,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'Carrefour', 'LABEL': 'b-company'}","{'TEXT': 'market', 'LABEL': 'i-company'}","{'TEXT': 'AYTRE', 'LABEL': 'i-company'}","{'TEXT': 'Lundi', 'LABEL': 'b-address'}","{'TEXT': 'au', 'LABEL': 'i-address'}","{'TEXT': 'Samedi', 'LABEL': 'i-address'}","{'TEXT': 'de', 'LABEL': 'i-address'}","{'TEXT': '9h', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': '20h00', 'LABEL': 'i-address'}","{'TEXT': 'Dimanche', 'LABEL': 'i-address'}","{'TEXT': '9h', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': '12h30', 'LABEL': 'i-address'}","{'TEXT': 'Rue', 'LABEL': 'i-address'}","{'TEXT': 'Nicolas', 'LABEL': 'i-address'}","{'TEXT': 'Gargot', 'LABEL': 'i-address'}","{'TEXT': '17440', 'LABEL': 'i-address'}","{'TEXT': 'Ayÿtré', 'LABEL': 'i-address'}","{'TEXT': 'ä', 'LABEL': 'b-total'}","{'TEXT': '78€', 'LABEL': 'b-total'}","{'TEXT': '01/03/2017', 'LABEL': 'b-date'}",{'id': '490'},,,,,,,,
"{'TEXT': 'PAUTLLON', 'LABEL': 'b-company'}","{'TEXT': 'GARONNE', 'LABEL': 'i-company'}","{'TEXT': 'RUE', 'LABEL': 'b-address'}","{'TEXT': 'LOUIS', 'LABEL': 'i-address'}","{'TEXT': 'BLERIÙT', 'LABEL': 'i-address'}","{'TEXT': '33430', 'LABEL': 'i-address'}","{'TEXT': 'BEGLES', 'LABEL': 'i-address'}","{'TEXT': 'FRANCE', 'LABEL': 'i-address'}","{'TEXT': '04—04—2047', 'LABEL': 'b-date'}",{'id': '1662'},,,,,,,,,,,,,,,,,,,,,
